Series;Product Image;Configuration;Package;Ch;VDS(V);VGS(V);RDS(on)@1.2V(Ω);RDS(on)1.5V(Ω);RDS(on)@1.8V(Ω);RDS(on)@2.5V(Ω);RDS(on)@3V(Ω);RDS(on)@4.5V(Ω);RDS(on)@6V(Ω);RDS(on)@7.5V(Ω);RDS(on)@10V(Ω);Qg@4.5V(nC);Qg@10V(nC);Qgs(nC);Qgd(nC);IDMax.(A);PDMax.(W);VGS(th)Min.(V);RgTyp.(Ω);Image path;Datasheet part;3d model part
IRFBG20;Enlarge;Single;TO-220AB;N;1000;20;;;;;;;;;11;;38;4.9;22;1.4;54;2;;image/mosfets/91144.png;Datasheet/mosfets/IRFBG20/IRFBG20.pdf;None
IRFBG30;Enlarge;Single;TO-220AB;N;1000;20;;;;;;;;;5;;80;10;42;3.1;125;2;;image/mosfets/91146.png;Datasheet/mosfets/IRFBG30/IRFBG30.pdf;None
IRFI510G;Enlarge;Single;TO-220 FULLPAK;N;100;20;;;;;;;;;0.54;;8.3;2.3;3.8;4.5;27;2;;image/mosfets/91148.png;Datasheet/mosfets/IRFI510G/IRFI510G.pdf;None
IRFI530G;Enlarge;Single;TO-220 FULLPAK;N;100;20;;;;;;;;;0.16;;33;5.4;15;9.7;42;2;;image/mosfets/91150.png;Datasheet/mosfets/IRFI530G/IRFI530G.pdf;None
IRFI540G;Enlarge;Single;TO-220 FULLPAK;N;100;20;;;;;;;;;0.077;;72;11;32;17;48;2;;image/mosfets/91151.png;Datasheet/mosfets/IRFI540G/IRFI540G.pdf;None
IRFI620G;Enlarge;Single;TO-220 FULLPAK;N;200;20;;;;;;;;;0.8;;14;3;7.9;4.1;30;2;;image/mosfets/91152.png;Datasheet/mosfets/IRFI620G/IRFI620G.pdf;None
IRFI630G;Enlarge;Single;TO-220 FULLPAK;N;200;20;;;;;;;;;0.4;;43;7;23;5.9;35;2;;image/mosfets/91153.png;Datasheet/mosfets/IRFI630G/IRFI630G.pdf;None
IRFI640G;Enlarge;Single;TO-220 FULLPAK;N;200;20;;;;;;;;;0.18;;70;13;39;9.8;40;2;;image/mosfets/91156.png;Datasheet/mosfets/IRFI640G/IRFI640G.pdf;None
IRFI644G;Enlarge;;;;;;;;;;;;;;;;;;;;;;;image/mosfets/91160.png;Datasheet/mosfets/IRFI644G/IRFI644G.pdf;None
IRFI720G;Enlarge;Single;TO-220 FULLPAK;N;400;20;;;;;;;;;1.8;;20;3.3;11;2.6;30;2;;image/mosfets/91162.png;Datasheet/mosfets/IRFI720G/IRFI720G.pdf;None
IRFI730G;Enlarge;Single;TO-220 FULLPAK;N;400;20;;;;;;;;;1;;38;5.7;22;3.7;35;2;;image/mosfets/91163.png;Datasheet/mosfets/IRFI730G/IRFI730G.pdf;None
IRFI740G;Enlarge;Single;TO-220 FULLPAK;N;400;20;;;;;;;;;0.55;;66;10;33;5.4;40;2;;image/mosfets/91164.png;Datasheet/mosfets/IRFI740G/IRFI740G.pdf;None
IRFI840G;;Single;TO-220 FULLPAK;N;500;20;;;;;;;;;0.85;;67;10;34;4.6;40;2;;image/mosfets/91165.png;Datasheet/mosfets/IRFI840G/IRFI840G.pdf;None
IRFI840GLC;Enlarge;Single;TO-220 FULLPAK;N;500;30;;;;;;;;;0.85;;39;10;19;4.5;40;2;;image/mosfets/91166.png;Datasheet/mosfets/IRFI840GLC/IRFI840GLC.pdf;None
IRFI9520G;Enlarge;Single;TO-220 FULLPAK;P;-100;20;;;;;;;;;0.6;;18;3;9;-5.2;37;-2;;image/mosfets/91167.png;Datasheet/mosfets/IRFI9520G/IRFI9520G.pdf;None
IRFI9530G;Enlarge;Single;TO-220 FULLPAK;P;-100;20;;;;;;;;;0.3;;38;6.8;21;-7.7;42;-2;;image/mosfets/91168.png;Datasheet/mosfets/IRFI9530G/IRFI9530G.pdf;None
IRFI9540G;Enlarge;Single;TO-220 FULLPAK;P;-100;20;;;;;;;;;0.2;;61;14;29;-11;48;-2;;image/mosfets/91169.png;Datasheet/mosfets/IRFI9540G/IRFI9540G.pdf;None
IRFI9610G;Enlarge;Single;TO-220 FULLPAK;P;-200;20;;;;;;;;;3;;13;3.2;7.3;-2;27;-2;;image/mosfets/91170.png;Datasheet/mosfets/IRFI9610G/IRFI9610G.pdf;None
IRFI9620G;Enlarge;Single;TO-220 FULLPAK;P;-200;20;;;;;;;;;1.5;;15;3.2;8.4;-3;30;-2;;image/mosfets/91171.png;Datasheet/mosfets/IRFI9620G/IRFI9620G.pdf;None
IRFI9630G;Enlarge;Single;TO-220 FULLPAK;P;-200;20;;;;;;;;;0.8;;29;5.4;15;-4.3;35;-2;;image/mosfets/91172.png;Datasheet/mosfets/IRFI9630G/IRFI9630G.pdf;None
IRFI9634G;Enlarge;Single;TO-220 FULLPAK;P;-250;20;;;;;;;;;1;;38;8;18;-4.1;35;-2;;image/mosfets/91175.png;Datasheet/mosfets/IRFI9634G/IRFI9634G.pdf;None
IRFI9640G;Enlarge;Single;TO-220 FULLPAK;P;-200;20;;;;;;;;;0.5;;44;7.1;27;-6.1;40;-2;;image/mosfets/91176.png;Datasheet/mosfets/IRFI9640G/IRFI9640G.pdf;None
IRFI9Z14G;Enlarge;Single;TO-220 FULLPAK;P;-60;20;;;;;;;;;0.5;;12;3.8;5.1;-5.3;27;-2;;image/mosfets/91179.png;Datasheet/mosfets/IRFI9Z14G/IRFI9Z14G.pdf;None
IRFI9Z24G;Enlarge;Single;TO-220 FULLPAK;P;-60;20;;;;;;;;;0.28;;19;5.4;11;-8.5;37;-2;;image/mosfets/91181.png;Datasheet/mosfets/IRFI9Z24G/IRFI9Z24G.pdf;None
IRFI9Z34G;Enlarge;Single;TO-220 FULLPAK;P;-60;20;;;;;;;;;0.14;;34;9.9;16;-12;42;-2;;image/mosfets/91183.png;Datasheet/mosfets/IRFI9Z34G/IRFI9Z34G.pdf;None
IRFIB6N60A;Enlarge;Single;TO-220 FULLPAK;N;600;30;;;;;;;;;0.75;;49;13;20;5.5;60;2;;image/mosfets/91185.png;Datasheet/mosfets/IRFIB6N60A/IRFIB6N60A.pdf;None
IRFIB7N50A;Enlarge;Single;TO-220 FULLPAK;N;500;30;;;;;;;;;0.52;;52;13;18;6.6;60;2;;image/mosfets/91186.png;Datasheet/mosfets/IRFIB7N50A/IRFIB7N50A.pdf;None
IRFIBC20G;Enlarge;Single;TO-220 FULLPAK;N;600;20;;;;;;;;;4.4;;18;3;8.9;1.7;30;2;;image/mosfets/90224.png;Datasheet/mosfets/IRFIBC20G/IRFIBC20G.pdf;None
IRFIBC40GLC;Enlarge;Single;TO-220 FULLPAK;N;600;20;;;;;;;;;1.2;;39;10;19;3.5;40;2;;image/mosfets/91187.png;Datasheet/mosfets/IRFIBC40GLC/IRFIBC40GLC.pdf;None
IRFIBE20G;Enlarge;Single;TO-220 FULLPAK;N;800;20;;;;;;;;;6.5;;38;5;21;1.4;30;2;;image/mosfets/91189.png;Datasheet/mosfets/IRFIBE20G/IRFIBE20G.pdf;None
IRFIBE30G;;Single;TO-220 FULLPAK;N;800;20;;;;;;;;;3;;78;9.6;45;2.1;35;2;;image/mosfets/91191.png;Datasheet/mosfets/IRFIBE30G/IRFIBE30G.pdf;None
IRFIBF20G;Enlarge;Single;TO-220 FULLPAK;N;900;20;;;;;;;;;8;;38;4.7;21;1.2;30;2;;image/mosfets/91192.png;Datasheet/mosfets/IRFIBF20G/IRFIBF20G.pdf;None
IRFIBF30G;Enlarge;Single;TO-220 FULLPAK;N;900;20;;;;;;;;;3.7;;78;10;42;1.9;35;2;;image/mosfets/91193.png;Datasheet/mosfets/IRFIBF30G/IRFIBF30G.pdf;None
IRFIZ14G;Enlarge;Single;TO-220 FULLPAK;N;60;20;;;;;;;;;0.2;;11;3.1;5.8;8;27;2;;image/mosfets/91195.png;Datasheet/mosfets/IRFIZ14G/IRFIZ14G.pdf;None
IRFIZ24G;Enlarge;Single;TO-220 FULLPAK;N;60;20;;;;;;;;;0.1;;25;5.8;11;14;37;2;;image/mosfets/91196.png;Datasheet/mosfets/IRFIZ24G/IRFIZ24G.pdf;None
IRFIZ44G;Enlarge;Single;TO-220 FULLPAK;N;60;20;;;;;;;;;0.028;;95;27;46;30;48;2;;image/mosfets/91198.png;Datasheet/mosfets/IRFIZ44G/IRFIZ44G.pdf;None
IRFIZ48G;;Single;TO-220 FULLPAK;N;60;20;;;;;;;;;0.018;;110;29;36;37;50;2;;image/mosfets/91199.png;Datasheet/mosfets/IRFIZ48G/IRFIZ48G.pdf;None
IRFL014, SiHFL014;Enlarge;Single;SOT-223;N;60;20;;;;;;;;;0.2;;11;3.1;5.8;2.7;3.1;2;;image/mosfets/91200.png;Datasheet/mosfets/IRFL014, SiHFL014/IRFL014, SiHFL014.pdf;None
IRFL110, SiHFL110;Enlarge;Single;SOT-223;N;100;20;;;;;;;;;0.54;;8.3;2.3;3.8;1.5;3.1;2;;image/mosfets/91201.png;Datasheet/mosfets/IRFL110, SiHFL110/IRFL110, SiHFL110.pdf;None
IRFL210, SiHFL210;Enlarge;Single;SOT-223;N;200;20;;;;;;;;;1.5;;8.2;1.8;4.5;0.96;3.1;2;;image/mosfets/91202.png;Datasheet/mosfets/IRFL210, SiHFL210/IRFL210, SiHFL210.pdf;None
IRFL9014, SiHFL9014;Enlarge;Single;SOT-223;P;-60;20;;;;;;;;;0.5;;12;3.8;5.1;-1.8;3.1;-2;;image/mosfets/91203.png;Datasheet/mosfets/IRFL9014, SiHFL9014/IRFL9014, SiHFL9014.pdf;None
IRFL9110, SiHFL9110;Enlarge;Single;SOT-223;P;-100;20;;;;;;;;;1.2;;8.7;2.2;4.1;-1.1;3.1;-2;;image/mosfets/91207.png;Datasheet/mosfets/IRFL9110, SiHFL9110/IRFL9110, SiHFL9110.pdf;None
IRFP048;Enlarge;Single;TO-247AC;N;60;20;;;;;;;;;0.018;;110;29;38;70;190;2;;image/mosfets/91210.png;Datasheet/mosfets/IRFP048/IRFP048.pdf;None
IRFP048R, SiHFP048R;Enlarge;Single;TO-247AC;N;60;20;;;;;;;;;0.018;;110;29;38;70;190;2;;image/mosfets/91211.png;Datasheet/mosfets/IRFP048R, SiHFP048R/IRFP048R, SiHFP048R.pdf;None
IRFP054;Enlarge;Single;TO-247AC;N;60;20;;;;;;;;;0.014;;160;48;54;70;230;2;;image/mosfets/91212.png;Datasheet/mosfets/IRFP054/IRFP054.pdf;None
IRFP064;Enlarge;Single;TO-247AC;N;60;20;;;;;;;;;0.009;;190;55;90;70;300;2;;image/mosfets/91214.png;Datasheet/mosfets/IRFP064/IRFP064.pdf;None
IRFP140;Enlarge;Single;TO-247AC;N;100;20;;;;;;;;;0.077;;72;11;32;31;180;2;;image/mosfets/91215.png;Datasheet/mosfets/IRFP140/IRFP140.pdf;None
IRFP150;Enlarge;Single;TO-247AC;N;100;20;;;;;;;;;0.055;;140;29;68;41;230;2;;image/mosfets/91217.png;Datasheet/mosfets/IRFP150/IRFP150.pdf;None
IRFP22N50A;Enlarge;Single;TO-247AC;N;500;30;;;;;;;;;0.23;;120;32;52;22;277;2;;image/mosfets/91225.png;Datasheet/mosfets/IRFP22N50A/IRFP22N50A.pdf;None
IRFP240;Enlarge;;;;;;;;;;;;;;;;;;;;;;;image/mosfets/90292.png;Datasheet/mosfets/IRFP240/IRFP240.pdf;None
IRFP244;Enlarge;Single;TO-247AC;N;250;20;;;;;;;;;0.28;;63;12;39;15;150;2;;image/mosfets/91228.png;Datasheet/mosfets/IRFP244/IRFP244.pdf;None
IRFP250;Enlarge;Single;TO-247AC;N;200;20;;;;;;;;;0.085;;140;28;74;30;190;2;;image/mosfets/91233.png;Datasheet/mosfets/IRFP250/IRFP250.pdf;None
IRFP254;Enlarge;Single;TO-247AC;N;250;20;;;;;;;;;0.14;;140;24;71;23;190;2;;image/mosfets/91230.png;Datasheet/mosfets/IRFP254/IRFP254.pdf;None
IRFP260;Enlarge;Single;TO-247AC;N;200;20;;;;;;;;;0.055;;230;42;110;46;280;2;;image/mosfets/91231.png;Datasheet/mosfets/IRFP260/IRFP260.pdf;None
IRFP264;Enlarge;Single;TO-247AC;N;250;20;;;;;;;;;0.075;;210;35;98;38;280;2;;image/mosfets/91237.png;Datasheet/mosfets/IRFP264/IRFP264.pdf;None
IRFP350;Enlarge;Single;TO-247AC;N;400;20;;;;;;;;;0.3;;150;23;80;16;190;2;;image/mosfets/91234.png;Datasheet/mosfets/IRFP350/IRFP350.pdf;None
IRFP360;Enlarge;Single;TO-247AC;N;400;20;;;;;;;;;0.2;;210;30;110;23;280;2;;image/mosfets/91235.png;Datasheet/mosfets/IRFP360/IRFP360.pdf;None
IRFP440;Enlarge;Single;TO-247AC;N;500;20;;;;;;;;;0.85;;63;11;30;8.8;150;2;;image/mosfets/91238.png;Datasheet/mosfets/IRFP440/IRFP440.pdf;None
IRFP450;Enlarge;Single;TO-247;N;500;20;;;;;;;;;0.4;;150;20;80;14;190;2;;image/mosfets/91239.png;Datasheet/mosfets/IRFP450/IRFP450.pdf;None
IRFP450A;Enlarge;Single;TO-247;N;500;30;;;;;;;;;0.4;;64;16;26;14;190;2;;image/mosfets/91240.png;Datasheet/mosfets/IRFP450A/IRFP450A.pdf;None
IRFP450LC;Enlarge;Single;TO-247;N;500;30;;;;;;;;;0.4;;74;19;35;14;190;2;;image/mosfets/91243.png;Datasheet/mosfets/IRFP450LC/IRFP450LC.pdf;None
IRFP450LC_RC, SiHFP450LC_RC;;;;P;;;;;;;;;;;;;;;;;;;;image/mosfets/91245.png;Datasheet/mosfets/IRFP450LC_RC, SiHFP450LC_RC/IRFP450LC_RC, SiHFP450LC_RC.pdf;None
IRFP460;Enlarge;Single;TO-247;N;500;20;;;;;;;;;0.27;;210;29;110;20;280;2;;image/mosfets/91244.png;Datasheet/mosfets/IRFP460/IRFP460.pdf;None
IRFP460A;Enlarge;Single;TO-247;N;500;30;;;;;;;;;0.27;;105;26;42;20;280;2;;image/mosfets/91246.png;Datasheet/mosfets/IRFP460A/IRFP460A.pdf;None
IRFP460LC;Enlarge;Single;TO-247;N;500;30;;;;;;;;;0.27;;120;32;49;20;280;2;;image/mosfets/91248.png;Datasheet/mosfets/IRFP460LC/IRFP460LC.pdf;None
IRFP9140;Enlarge;Single;TO-247AC;P;-100;20;;;;;;;;;0.2;;61;14;29;-21;180;-2;;image/mosfets/91249.png;Datasheet/mosfets/IRFP9140/IRFP9140.pdf;None
IRFP9240;Enlarge;Single;TO-247AC;P;-200;20;;;;;;;;;0.5;;44;7.1;27;-12;150;-2;;image/mosfets/91251.png;Datasheet/mosfets/IRFP9240/IRFP9240.pdf;None
IRFPC40;Enlarge;Single;TO-247AC;N;600;20;;;;;;;;;1.2;;60;8.3;30;6.8;150;2;;image/mosfets/91252.png;Datasheet/mosfets/IRFPC40/IRFPC40.pdf;None
IRFPC50;Enlarge;Single;TO-247AC;N;600;20;;;;;;;;;0.6;;140;20;69;11;180;2;;image/mosfets/91253.png;Datasheet/mosfets/IRFPC50/IRFPC50.pdf;None
IRFPC60;Enlarge;Single;TO-247AC;N;600;20;;;;;;;;;0.4;;210;26;110;16;280;2;;image/mosfets/91254.png;Datasheet/mosfets/IRFPC60/IRFPC60.pdf;None
IRFPC60LC;Enlarge;Single;TO-247AC;N;600;30;;;;;;;;;0.4;;120;29;48;16;280;2;;image/mosfets/91420.png;Datasheet/mosfets/IRFPC60LC/IRFPC60LC.pdf;None
IRFPE30;Enlarge;Single;TO-247AC;N;800;20;;;;;;;;;3;;78;9.6;45;4.1;125;2;;image/mosfets/91263.png;Datasheet/mosfets/IRFPE30/IRFPE30.pdf;None
IRFPE50;Enlarge;Single;TO-247AC;N;800;20;;;;;;;;;1.2;;200;24;110;7.8;190;2;;image/mosfets/91263.png;Datasheet/mosfets/IRFPE50/IRFPE50.pdf;None
IRFPF30;Enlarge;Single;TO-247AC;N;900;20;;;;;;;;;3.7;;78;10;42;3.6;125;2;;image/mosfets/90335.png;Datasheet/mosfets/IRFPF30/IRFPF30.pdf;None
IRFPF50;Enlarge;Single;TO-247AC;N;900;20;;;;;;;;;1.6;;200;24;110;6.7;190;2;;image/mosfets/90335.png;Datasheet/mosfets/IRFPF50/IRFPF50.pdf;None
IRFPG30;Enlarge;Single;TO-247AC;N;1000;20;;;;;;;;;5;;80;10;42;3.1;125;2;;image/mosfets/91264.png;Datasheet/mosfets/IRFPG30/IRFPG30.pdf;None
IRFPG40;Enlarge;Single;TO-247AC;N;1000;20;;;;;;;;;3.5;;120;16;65;4.3;150;2;;image/mosfets/91264.png;Datasheet/mosfets/IRFPG40/IRFPG40.pdf;None
IRFPG50;Enlarge;Single;TO-247AC;N;1000;20;;;;;;;;;2;;190;23;110;6.1;190;2;;image/mosfets/91265.png;Datasheet/mosfets/IRFPG50/IRFPG50.pdf;None
IRFR010, SiHFR010;Enlarge;Single;DPAK (TO-252);N;50;20;;;;;;;;;0.2;;6.7;1.8;3.2;8.2;25;2;;image/mosfets/91266.png;Datasheet/mosfets/IRFR010, SiHFR010/IRFR010, SiHFR010.pdf;None
IRFR014, IRFU014, SiHFR014, SiHFU014;Enlarge;Single;IPAK (TO-251);N;60;20;;;;;;;;;0.2;;11;3.1;5.8;7.7;25;2;;image/mosfets/91266.png;Datasheet/mosfets/IRFR014, IRFU014, SiHFR014, SiHFU014/IRFR014, IRFU014, SiHFR014, SiHFU014.pdf;None
IRFR014, IRFU014, SiHFR014, SiHFU014;Enlarge;Single;DPAK (TO-252);N;60;20;;;;;;;;;0.2;;11;3.1;5.8;7.7;25;2;;image/mosfets/91267.png;Datasheet/mosfets/IRFR014, IRFU014, SiHFR014, SiHFU014/IRFR014, IRFU014, SiHFR014, SiHFU014.pdf;None
IRFR020, IRFU020, SiHFR020, SiHFU020;Enlarge;Single;IPAK (TO-251);N;60;20;;;;;;;;;0.1;;25;5.8;11;14;42;2;;image/mosfets/91267.png;Datasheet/mosfets/IRFR020, IRFU020, SiHFR020, SiHFU020/IRFR020, IRFU020, SiHFR020, SiHFU020.pdf;None
IRFR020, IRFU020, SiHFR020, SiHFU020;Enlarge;Single;DPAK (TO-252);N;60;20;;;;;;;;;0.1;;25;5.8;11;14;42;2;;image/mosfets/91268.png;Datasheet/mosfets/IRFR020, IRFU020, SiHFR020, SiHFU020/IRFR020, IRFU020, SiHFR020, SiHFU020.pdf;None
IRFR024, IRFU024, SiHFR024, SiHFU024;Enlarge;Single;IPAK (TO-251);N;60;20;;;;;;;;;0.1;;25;5.8;11;14;42;2;;image/mosfets/91268.png;Datasheet/mosfets/IRFR024, IRFU024, SiHFR024, SiHFU024/IRFR024, IRFU024, SiHFR024, SiHFU024.pdf;None
IRFR024, IRFU024, SiHFR024, SiHFU024;Enlarge;Single;DPAK (TO-252);N;60;20;;;;;;;;;0.1;;25;5.8;11;14;42;2;;image/mosfets/91270.png;Datasheet/mosfets/IRFR024, IRFU024, SiHFR024, SiHFU024/IRFR024, IRFU024, SiHFR024, SiHFU024.pdf;None
IRFR110, SiHFR110;Enlarge;Single;DPAK (TO-252);N;100;20;;;;;;;;;0.54;;8.3;2.3;3.8;4.3;25;2;;image/mosfets/91270.png;Datasheet/mosfets/IRFR110, SiHFR110/IRFR110, SiHFR110.pdf;None
IRFR120, IRFU120, SiHFR120, SiHFU120;Enlarge;Single;DPAK (TO-252);N;100;20;;;;;;;;;0.27;;16;4.4;7.7;7.7;42;2;;image/mosfets/91272.png;Datasheet/mosfets/IRFR120, IRFU120, SiHFR120, SiHFU120/IRFR120, IRFU120, SiHFR120, SiHFU120.pdf;None
IRFR120, IRFU120, SiHFR120, SiHFU120;Enlarge;Single;IPAK (TO-251);N;100;20;;;;;;;;;0.27;;16;4.4;7.7;7.7;42;2;;image/mosfets/91272.png;Datasheet/mosfets/IRFR120, IRFU120, SiHFR120, SiHFU120/IRFR120, IRFU120, SiHFR120, SiHFU120.pdf;None
IRFR1N60A, IRFU1N60A, SiHFR1N60A, SiHFU1N60A;Enlarge;Single;IPAK (TO-251);N;600;30;;;;;;;;;7;;14;2.7;8.1;1.4;36;2;;image/mosfets/91273.png;Datasheet/mosfets/IRFR1N60A, IRFU1N60A, SiHFR1N60A, SiHFU1N60A/IRFR1N60A, IRFU1N60A, SiHFR1N60A, SiHFU1N60A.pdf;None
IRFR1N60A, IRFU1N60A, SiHFR1N60A, SiHFU1N60A;Enlarge;Single;DPAK (TO-252);N;600;30;;;;;;;;;7;;14;2.7;8.1;1.4;36;2;;image/mosfets/91273.png;Datasheet/mosfets/IRFR1N60A, IRFU1N60A, SiHFR1N60A, SiHFU1N60A/IRFR1N60A, IRFU1N60A, SiHFR1N60A, SiHFU1N60A.pdf;None
IRFR210, IRFU210, SiHFR210, SiHFU210;Enlarge;Single;IPAK (TO-251);N;200;20;;;;;;;;;1.5;;8.2;1.8;4.5;2.6;25;2;;image/mosfets/91275.png;Datasheet/mosfets/IRFR210, IRFU210, SiHFR210, SiHFU210/IRFR210, IRFU210, SiHFR210, SiHFU210.pdf;None
IRFR210, IRFU210, SiHFR210, SiHFU210;Enlarge;Single;DPAK (TO-252);N;200;20;;;;;;;;;1.5;;8.2;1.8;4.5;2.6;25;2;;image/mosfets/91275.png;Datasheet/mosfets/IRFR210, IRFU210, SiHFR210, SiHFU210/IRFR210, IRFU210, SiHFR210, SiHFU210.pdf;None
IRFR220, IRFU220, SiHFR220, SiHFU220;Enlarge;Single;IPAK (TO-251);N;200;20;;;;;;;;;0.8;;14;3;7.9;4.8;42;2;;image/mosfets/91274.png;Datasheet/mosfets/IRFR220, IRFU220, SiHFR220, SiHFU220/IRFR220, IRFU220, SiHFR220, SiHFU220.pdf;None
IRFR220, IRFU220, SiHFR220, SiHFU220;Enlarge;Single;DPAK (TO-252);N;200;20;;;;;;;;;0.8;;14;3;7.9;4.8;42;2;;image/mosfets/91274.png;Datasheet/mosfets/IRFR220, IRFU220, SiHFR220, SiHFU220/IRFR220, IRFU220, SiHFR220, SiHFU220.pdf;None
IRFR310, IRFU310, SiHFR310, SiHFU310;Enlarge;Single;IPAK (TO-251);N;400;20;;;;;;;;;3.6;;12;1.9;6.5;1.7;25;2;;image/mosfets/91276.png;Datasheet/mosfets/IRFR310, IRFU310, SiHFR310, SiHFU310/IRFR310, IRFU310, SiHFR310, SiHFU310.pdf;None
IRFR310, IRFU310, SiHFR310, SiHFU310;Enlarge;Single;DPAK (TO-252);N;400;20;;;;;;;;;3.6;;12;1.9;6.5;1.7;25;2;;image/mosfets/91276.png;Datasheet/mosfets/IRFR310, IRFU310, SiHFR310, SiHFU310/IRFR310, IRFU310, SiHFR310, SiHFU310.pdf;None
IRFR320, IRFU320, SiHFR320, SiHFU320;Enlarge;Single;IPAK (TO-251);N;400;20;;;;;;;;;1.8;;20;3.3;11;3.1;42;2;;image/mosfets/91378.png;Datasheet/mosfets/IRFR320, IRFU320, SiHFR320, SiHFU320/IRFR320, IRFU320, SiHFR320, SiHFU320.pdf;None
IRFR320, IRFU320, SiHFR320, SiHFU320;Enlarge;Single;DPAK (TO-252);N;400;20;;;;;;;;;1.8;;20;3.3;11;3.1;42;2;;image/mosfets/91378.png;Datasheet/mosfets/IRFR320, IRFU320, SiHFR320, SiHFU320/IRFR320, IRFU320, SiHFR320, SiHFU320.pdf;None
IRFR420, IRFU420, SiHFR420, SiHFU420;Enlarge;Single;DPAK (TO-252);N;500;20;;;;;;;;;3;;19;3.3;13;2.4;42;2;;image/mosfets/91277.png;Datasheet/mosfets/IRFR420, IRFU420, SiHFR420, SiHFU420/IRFR420, IRFU420, SiHFR420, SiHFU420.pdf;None
IRFR420, IRFU420, SiHFR420, SiHFU420;Enlarge;Single;IPAK (TO-251);N;500;20;;;;;;;;;3;;19;3.3;13;2.4;42;2;;image/mosfets/91277.png;Datasheet/mosfets/IRFR420, IRFU420, SiHFR420, SiHFU420/IRFR420, IRFU420, SiHFR420, SiHFU420.pdf;None
IRFR420A, IRFU420A, SiHFR420A, SiHFU420A;Enlarge;Single;IPAK (TO-251);N;500;30;;;;;;;;;3;;17;4.3;8.5;3.3;83;2;;image/mosfets/90350.png;Datasheet/mosfets/IRFR420A, IRFU420A, SiHFR420A, SiHFU420A/IRFR420A, IRFU420A, SiHFR420A, SiHFU420A.pdf;None
IRFR420A, IRFU420A, SiHFR420A, SiHFU420A;Enlarge;Single;DPAK (TO-252);N;500;30;;;;;;;;;3;;17;4.3;8.5;3.3;83;2;;image/mosfets/90350.png;Datasheet/mosfets/IRFR420A, IRFU420A, SiHFR420A, SiHFU420A/IRFR420A, IRFU420A, SiHFR420A, SiHFU420A.pdf;None
IRFR430A, IRFU430A, SiHFR430A, SiHFU430A;Enlarge;Single;DPAK (TO-252);N;500;30;;;;;;;;;1.7;;24;6.5;13;5;110;2;;image/mosfets/91278.png;Datasheet/mosfets/IRFR430A, IRFU430A, SiHFR430A, SiHFU430A/IRFR430A, IRFU430A, SiHFR430A, SiHFU430A.pdf;None
IRFR430A, IRFU430A, SiHFR430A, SiHFU430A;Enlarge;Single;IPAK (TO-251);N;500;30;;;;;;;;;1.7;;24;6.5;13;5;110;2;;image/mosfets/91278.png;Datasheet/mosfets/IRFR430A, IRFU430A, SiHFR430A, SiHFU430A/IRFR430A, IRFU430A, SiHFR430A, SiHFU430A.pdf;None
IRFR9010, IRFU9010, SiHFR9010, SiHFU9010;Enlarge;Single;DPAK (TO-252);P;-50;20;;;;;;;;;0.5;;6.1;2;3.9;-5.3;25;-2;;image/mosfets/91279.png;Datasheet/mosfets/IRFR9010, IRFU9010, SiHFR9010, SiHFU9010/IRFR9010, IRFU9010, SiHFR9010, SiHFU9010.pdf;None
IRFR9010, IRFU9010, SiHFR9010, SiHFU9010;Enlarge;Single;IPAK (TO-251);P;-50;20;;;;;;;;;0.5;;6.1;2;3.9;-5.3;25;-2;;image/mosfets/91279.png;Datasheet/mosfets/IRFR9010, IRFU9010, SiHFR9010, SiHFU9010/IRFR9010, IRFU9010, SiHFR9010, SiHFU9010.pdf;None
IRFR9014, IRFU9014, SiHFR9014, SiHFU9014;Enlarge;Single;IPAK (TO-251);P;-60;20;;;;;;;;;0.5;;12;3.8;5.1;-5.1;25;-2;;image/mosfets/91280.png;Datasheet/mosfets/IRFR9014, IRFU9014, SiHFR9014, SiHFU9014/IRFR9014, IRFU9014, SiHFR9014, SiHFU9014.pdf;None
IRFR9014, IRFU9014, SiHFR9014, SiHFU9014;Enlarge;Single;DPAK (TO-252);P;-60;20;;;;;;;;;0.5;;12;3.8;5.1;-5.1;25;-2;;image/mosfets/91280.png;Datasheet/mosfets/IRFR9014, IRFU9014, SiHFR9014, SiHFU9014/IRFR9014, IRFU9014, SiHFR9014, SiHFU9014.pdf;None
IRFR9020, IRFU9020, SiHFR9020, SiHFU9020;Enlarge;Single;DPAK (TO-252);P;-50;20;;;;;;;;;0.28;;9.4;4.3;4.3;-9.9;42;-2;;image/mosfets/91281.png;Datasheet/mosfets/IRFR9020, IRFU9020, SiHFR9020, SiHFU9020/IRFR9020, IRFU9020, SiHFR9020, SiHFU9020.pdf;None
IRFR9020, IRFU9020, SiHFR9020, SiHFU9020;Enlarge;Single;IPAK (TO-251);P;-50;20;;;;;;;;;0.28;;9.4;4.3;4.3;-9.9;42;-2;;image/mosfets/91281.png;Datasheet/mosfets/IRFR9020, IRFU9020, SiHFR9020, SiHFU9020/IRFR9020, IRFU9020, SiHFR9020, SiHFU9020.pdf;None
IRFR9024, IRFU9024, SiHFR9024, SiHFU9024;Enlarge;Single;IPAK (TO-251);P;-60;20;;;;;;;;;0.28;;19;5.4;11;-8.8;42;-2;;image/mosfets/91282.png;Datasheet/mosfets/IRFR9024, IRFU9024, SiHFR9024, SiHFU9024/IRFR9024, IRFU9024, SiHFR9024, SiHFU9024.pdf;None
